IGR J00370+6122,,00 37 10.,+61 21 35.,121.2,-1.5,B0.5II-III,1RXS J003709.6+612131,LS I +61 161
2S 0053+604,R,00 56 42.5,+60 43 00.,123.6,-2.1,B0.5 Ve,3A 0053+604,
2S 0114+650,"P, C?",01 18 02.7,+65 17 30.,125.7,2.6,B0.5 Ib,,LS I +65^o^010
4U 0115+634,"T, P, C",01 18 31.9,+63 44 24.,125.6,1,B0.2Ve,4U 0115+63,
IGR J01363+6610,T,01 35 50.,+66 12 40.,127.4,3.7,B1Ve,,
RX J0146.9+6121,,01 47 00.2,+61 21 23.7,129.5,-0.8,B1Ve,,V831 Cas
IGR J01583+6713,T,01 58 18.44,+67 13 23.5,129.4,5.2,Be,,
1E 0236.6+6100,R,02 40 31.7,+61 13 46.,135.7,1.1,B0Ve,,V615 Cas
V 0332+53,"T, P, C",03 34 59.9,+53 10 24.,146.1,-2.2,O8.5Ve,EXO 0331+530,
4U 0352+309,"P, C",03 55 23.0,+31 02 59.,163.1,-17.1,B0Ve,,
XTE J0421+560,"T, R",04 19 42.2,+55 59 59.,149.2,4.1,sgB[e],,
RX J0440.9+4431,P,04 40 59.3,+44 31 49.,159.8,-1.3,B0.2Ve,,BSD 24-491
EXO 051910+3737.7,,05 22 35.2,+37 40 34.,170,0.7,B0 IVpe,1H 0521+373,HD 34921
1A 0535+262,"T, P, C",05 38 54.6,+26 18 57.,181.4,-2.6,O9.7IIIe,H 0535+262,HD 245770
1H 0556+286,,05 55 55.1,+28 47 06.,181.3,1.9,B5ne,,
IGR J06074+2205,T,06 07 26.6,+22 05 48.3,188.3853243,0.81375242,Be,,
SAX J0635.2+0533,P,06 35 18.29,+05 33 06.3,206.1,-1,B2V-B1IIIe,SAX J0635+0533,
1WGA J0648.0-4419,P,06 48 04.6,-44 18 58.4,253.7,-19.1,sdO6,RX J0648.1-4419,
XTE J0658-073,"T, P, C",06 58 17.30,-07 12 35.3,220.1,-1.8,O9.7Ve,MXB 0656-072,
3A 0726-260,"T, P",07 28 53.6,-26 06 29.,240.3,-4.1,O8-9Ve,4U 0728-25,
1H 0739-529,,07 47 23.6,-53 19 57.,266.3,-13.7,B7 IV-Ve,,SAO 235515
